Infinitiv;Perfekt;Übersetzung
abfahren;ist abgefahren;salir/partir
abfliegen;ist abgeflogen;salir/despegar
abgeben;hat abgegeben;entregar
abholen;hat abgeholt;recoger
achtgeben;hat achtgegeben;cuidar de
ändern (sich);hat sich geändert;cambiar/modificar
anfangen;hat angefangen;empezar
ankommen;ist angekommen;llegar
anmachen;hat angemacht;encender
anmelden (sich);hat angemeldet;iniciar sesion
anrufen;hat angerufen;llamar por telefono
antworten;hat geantwortet;responder
anziehen (sich);hat angezogen;vestirse
arbeiten;hat gearbeitet;trabajar
ärgern (sich);hat geärgert;molestarse
aufhören;hat aufgehört;acabar
aufmachen;hat aufgemacht;abrir
aufpassen;hat aufgepasst;tener cuidado
aufräumen;hat aufgeräumt;limpiar
aufschreiben;hat aufgeschrieben;anotar
aufstehen;ist aufgestanden;ponerse de pie
ausfüllen;hat ausgefüllt;completar
ausgeben;hat ausgegeben;gastar
auspacken;hat ausgepackt;desempacar
aussehen;hat ausgesehen;parecer/tener aspecto de
aussteigen;ist ausgestiegen;salir/to get out
auswählen;hat ausgewählt;escoger
ausziehen;ist ausgezogen;mudarse
ausziehen (sich);hat sich ausgezogen;quitarse
baden;hat gebadet;bañar
bedeuten;hat bedeutet;significar
beeilen (sich);hat beeilt;apurarse
beginnen;hat begonnen;comenzar
behalten;hat behalten;mantener
bekommen;hat bekommen;recibir/obtener
benutzen;hat benutzt;usar
beschweren (sich);hat beschwert;quejarse
besichtigen;hat besichtigt;examinar/visitar
besitzen;hat besessen;poseer
bestehen;hat bestanden;existir
bestellen;hat bestellt;pedir (restaurante)
besuchen;hat besucht;visitar
bezahlen;hat bezahlt;pagar
bitten;hat gebeten;pedir
bleiben;ist geblieben;quedarse
bloggen;hat gebloggt;bloguear
bluten;hat geblutet;sangrar
brauchen;hat gebraucht;necesitar
bremsen;hat gebremst;frenar
bringen;hat gebracht;traer
buchen;hat gebucht;reservar
buchstabieren;hat buchstabiert;deletrear
